id,corner_index,outline,point,type,latitude,longitude,northing,easting,northingWGS84,eastingWGS84,license_id
353,NULL,1,8,I,26.53333333,68.812056,2934763.04,481276.7258,2934763.04,481276.7258,1028535760
354,NULL,1,9,I,26.53333333,68.401389,2934888.49,440364.8473,2934888.49,440364.8473,1028535760
355,NULL,1,10,I,27.5,68.40138889,3041959.44,440872.995,3041959.44,440872.995,1028535760
356,NULL,1,11,I,27.5,68.91666667,3041819.58,491768.9472,3041819.58,491768.9472,1028535760
357,NULL,1,12,I,27.66666667,68.91666667,3060280.998,491781.3803,3060280.998,491781.3803,1028535760
358,NULL,1,1,I,23.41972222,68.39972222,2590111.818,438673.6911,2590111.818,438673.6911,1042460991
359,NULL,1,2,I,22.90777778,68.39444444,2533438.593,437898.8518,2533438.593,437898.8518,1042460991
360,NULL,1,3,I,22.90777778,68.75,2533332.622,474362.1892,2533332.622,474362.1892,1042460991
361,NULL,1,4,I,23.08333333,68.75,2552766.69,474395.3162,2552766.69,474395.3162,1042460991
362,NULL,1,1,I,15.00111111,80.38305556,1658541.32,433673.0896,1658541.32,433673.0896,1813496340
363,NULL,1,2,I,15,81.25,1658341.17,526876.9415,1658341.17,526876.9415,1813496340
364,NULL,1,3,I,14.5,81.25,1603039.69,526938.3767,1603039.69,526938.3767,1813496340
365,NULL,1,4,I,14.5,82,1603260.441,607758.0231,1603260.441,607758.0231,1813496340
366,NULL,1,5,I,15.48333333,82,1712035.861,607266.8797,1712035.861,607266.8797,1813496340
367,NULL,1,6,I,15.41277778,81.33888889,1704010.461,536362.4388,1704010.461,536362.4388,1813496340
368,NULL,1,7,I,15.135,80.82833333,1673264.895,481556.1571,1673264.895,481556.1571,1813496340
369,NULL,1,8,I,15.35694444,80.67888889,1697831.832,465535.9341,1697831.832,465535.9341,1813496340
370,NULL,1,9,I,15.32916667,80.66416667,1694761.746,463951.0537,1694761.746,463951.0537,1813496340
371,NULL,1,10,I,15.22027778,80.50833333,1682749.41,447196.0986,1682749.41,447196.0986,1813496340
372,NULL,1,11,I,15.00111111,80.38305556,1658541.32,433673.0896,1658541.32,433673.0896,1813496340
373,NULL,1,1,I,18.98194444,85.49972222,2099502.333,342064.576,2099502.333,342064.576,1042779155
374,NULL,1,2,I,18.5,85.5,2046162.872,341645.065,2046162.872,341645.065,1042779155
375,NULL,1,3,I,18.5,86.5,2045578.114,447219.3315,2045578.114,447219.3315,1042779155
376,NULL,1,4,I,19.6425,86.5,2171998.036,447579.8058,2171998.036,447579.8058,1042779155
377,NULL,1,5,I,19.45055556,86.30805556,2150827.695,427369.7911,2150827.695,427369.7911,1042779155
378,NULL,1,6,I,19.29138889,85.84333333,2133474.813,378467.9344,2133474.813,378467.9344,1042779155
379,NULL,1,7,I,18.98194444,85.49972222,2099502.333,342064.576,2099502.333,342064.576,1042779155
380,NULL,1,1,I,15.86083333,80.52555556,1753599.115,449202.9595,1753599.115,449202.9595,1519169880
381,NULL,1,2,I,15.35,80.56944444,1697084.108,453787.8357,1697084.108,453787.8357,1519169880
382,NULL,1,3,I,15.35,80.67361111,1697064.558,464968.3194,1697064.558,464968.3194,1519169880
383,NULL,1,4,I,15.38527778,80.67916667,1700965.725,465570.3993,1700965.725,465570.3993,1519169880
384,NULL,1,5,I,15.40361111,80.77666667,1702980.375,476035.575,1702980.375,476035.575,1519169880
385,NULL,1,6,I,15.55055556,80.82333333,1719229.196,481056.456,1719229.196,481056.456,1519169880
386,NULL,1,7,I,15.60083333,81.02333333,1724782.734,502501.366,1724782.734,502501.366,1519169880
387,NULL,1,8,I,15.64222222,81.02833333,1729360.849,503036.7635,1729360.849,503036.7635,1519169880
388,NULL,1,9,I,15.75694444,81.22777778,1742063.398,524399.6,1742063.398,524399.6,1519169880
389,NULL,1,10,I,15.97777778,81.15305556,1766483.302,516377.4798,1766483.302,516377.4798,1519169880
390,NULL,1,11,I,15.86083333,80.52555556,1753599.115,449202.9595,1753599.115,449202.9595,1519169880
391,NULL,1,3,I,17.85722222,71.35916667,1975968.228,750005.5353,1975968.228,750005.5353,1502652263
392,NULL,1,4,I,17.82666667,71.95777778,1973487.886,813536.5314,1973487.886,813536.5314,1502652263
393,NULL,1,5,I,18,72,1992757.473,817706.1136,1992757.473,817706.1136,1502652263
