id,country,area,well_name,field,block,state,latitude,longitude,northing,easting,northingWGS84,eastingWGS84,well_type,location,total_depth,result,rt_elevation,water_depth,ss_wellhead,platform,slot,spheroid,epsg_code,drilling_contractor_id,license_id,operator_id,region_id,rig_id,onhire_date,release_date,spud_date,total_days
1058250516,India,NEC-25,NEC25-A1,NULL,NEC-OSN-97/2,Orissa,20.7372077777778,87.9038425,2293326.975,594101.656,2293326.975,594101.656,Exploration,Offshore,3767,Drilling,33.2,64.3,0,NULL,NULL,NULL,NULL,75,-975739785,72,-46540562,127,NULL,NULL,"2003-10-06 20:30:00.000000",NULL
1063188158,India,"Cauvery Basin",CDW-1-A,NULL,NULL,"Bay of Bengal",11.2502341666667,80.1920125,1243671.094,411816.905,1243769.5,411804.909,Exploration,Offshore,2127,"Dry Hole P&A",17,764,0,NULL,NULL,NULL,NULL,46,NULL,63,-46540566,102,NULL,NULL,"1998-05-23 12:00:00.000000",NULL
1063258115,India,"KG Basin",G-1-1,NULL,NULL,"Bay of Bengal",16.263,82.1825,1798248.140108516,626340.9962905342,1798392.5242515923,626358.3275313867,Exploration,Offshore,3213,"Oil & Gas",13.5,249.4,1,NULL,NULL,NULL,NULL,17,NULL,63,-46540566,78,NULL,NULL,"1979-11-30 21:00:00.000000",NULL
1063335187,India,"KG Basin",G-1-5,NULL,NULL,"Bay of Bengal",16.2606944444444,82.1996666666667,1798003.761,628176.844,1798148.125,628194.427,Exploration,Offshore,3154,Gas,11.4,292,1,NULL,NULL,NULL,NULL,64,NULL,63,-46540566,110,NULL,NULL,"1984-08-11 12:00:00.000000",54
1067914136,India,"KG Basin",GD-A-1,NULL,NULL,"Bay of Bengal",16.0305555555556,81.825,0,0,1772490.742,588257.222,Exploration,Offshore,0,"Dry Hole P&A",17,720,1,NULL,NULL,NULL,NULL,46,NULL,63,-46540566,102,NULL,NULL,NULL,NULL
1068188066,India,"KG Basin",G-1-9,NULL,NULL,"Bay of Bengal",16.2540027777778,82.1795527777778,1797395.28,626049.097,1797395.28,626049.097,Appraisal,Offshore,2517,"Oil & Gas",17,267,1,NULL,NULL,NULL,NULL,46,NULL,63,-46540566,102,NULL,NULL,"1999-04-14 12:00:00.000000",NULL
1068263224,India,"KG Basin",KD-2-1,NULL,KG-OS-DW,"Bay of Bengal",15.58551388888889,81.18796944444445,1723096.991,520152.113,1723096.991,520152.113,Exploration,Offshore,3950,"Gas Show P&A",14,1464,1,NULL,NULL,NULL,NULL,NULL,1078992168,63,-46540566,25,NULL,NULL,"2004-03-02 02:00:00.000000",73
1073960776,India,"KG Basin",D6-K1,NULL,KG-DWN-98/3,"Bay of Bengal",16.6208333333333,82.6336111111111,1838321.195,674252.6,1838321.195,674252.6,Exploration,Offshore,2414,Gas,14.5,1031,1,NULL,NULL,NULL,NULL,75,1037105339,72,-46540566,24,NULL,NULL,"2003-12-19 17:15:00.000000",NULL
1077858226,India,"KG Basin",D6-K2,NULL,KG-DWN-98/3,"Bay of Bengal",16.6469444444444,82.6475,1841222.778,675710.641,1841222.778,675710.641,Exploration,Offshore,0,Drilling,14,978,1,NULL,NULL,NULL,NULL,75,1037105339,72,-46540566,24,NULL,NULL,"2004-02-12 12:00:00.000000",NULL
1078970697,India,"KG Basin",KD-3-1A,NULL,KG-OS-DW-EXTN,"Bay of Bengal",15.3864611111111,81.1362472222222,1701075.649,514620.967,1701075.649,514620.967,Exploration,Offshore,4314,"Dry Hole P&A",14,1732,1,NULL,NULL,NULL,NULL,NULL,NULL,63,-46540566,25,NULL,NULL,"2004-06-23 03:30:00.000000",NULL
1080556151,India,"Mumbai Offshore",DDWRO1-1,NULL,BB-OS-DW-1,Maharashtra,20.4873055555556,69.1145277777778,2265412.213,511942.912,2265412.213,511942.912,Exploration,Offshore,5405,"Dry Hole P&A",24,1078,1,NULL,NULL,NULL,NULL,10,NULL,63,153800183,11,"2004-03-04 21:30:00.000000","2004-07-07 01:00:00.000000","2004-03-09 17:00:00.000000",NULL
